text,intent,action_type
xóa record cuối giúp mình,action,DELETE_LAST
xem report sức khỏe tháng trước,action,REPORT_INCOME
xem report đi lại tháng này,action,REPORT_COMPARE
giảm limit còn 200k,action,SET_LIMIT
kiếm giúp khoản trà sữa,action,SEARCH
set limit giáo dục 10 triệu mỗi tháng,action,SET_LIMIT
nhắc mình khi vượt ngân sách,action,SET_ALERT
nhắc mình khi vượt ngân sách,action,SET_ALERT
update record vừa nhập,action,EDIT
đổi giọng sang châm chọc,action,TONE
để dành 5 triệu nha,action,SET_GOAL
undo giao dịch cuối,action,DELETE
đổi danh mục sang giáo dục,action,UPDATE_RECORD
mục tiêu du lịch 50k trước 23-12-2025,action,SET_GOAL
thống kê chi tiêu chủ nhật,action,REPORT_GENERAL
cho t xem báo cáo thứ 2,action,REPORT_COMPARE
nói chuyện hài hước hơn đi,action,SET_TONE
update record vừa nhập,action,EDIT
giảm limit còn 50k,action,LIMIT
tắt chế độ tối,action,SETTING
hủy hóa đơn mới nhất,action,DELETE_LAST
update record vừa nhập,action,EDIT
kiếm giúp khoản trà sữa,action,SEARCH
xem report sức khỏe năm nay,action,REPORT_INCOME
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
giảm limit còn 2 triệu,action,LIMIT
tìm record năm ngoái,action,SEARCH_RECORD
thống kê chi tiêu năm nay,action,REPORT_INCOME
đặt hạn mức nhà ở 200k,action,LIMIT
check tiền đã xài 15-06-2026 đi,action,REPORT_GENERAL
chuyển giao diện sáng,action,SETTING
đặt hạn mức đi lại 200k,action,LIMIT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tắt thông báo chi tiêu,action,SET_ALERT
nói chuyện châm chọc hơn đi,action,TONE
set limit giáo dục 100k mỗi tháng,action,SET_LIMIT
bật cảnh báo giáo dục,action,SET_ALERT
đổi giọng sang châm chọc,action,SET_TONE
nói chuyện dễ thương hơn đi,action,TONE
cho t xem báo cáo thứ 6,action,REPORT_INCOME
gợi ý ngân sách tháng sau,action,SUGGEST
xóa record cuối giúp mình,action,DELETE
tư vấn hạn mức cho mình,action,SUGGEST
chuyển giao diện sáng,action,SETTING
cộng thêm 100k vào hạn mức,action,SET_LIMIT
cho t xem báo cáo hôm nay,action,REPORT_GENERAL
mở cài đặt,action,SETTING
tạo mục tiêu tiết kiệm 50k,action,GOAL
xem report sức khỏe hôm nay,action,REPORT_INCOME
cho t xem báo cáo thứ 6,action,REPORT_COMPARE
cho t xem báo cáo 23-12-2025,action,REPORT_COMPARE
chuyển giao diện sáng,action,SYSTEM_SETTING
cho t xem báo cáo cuối tuần,action,REPORT_GENERAL
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
giảm limit còn 100k,action,LIMIT
tắt chế độ tối,action,SYSTEM_SETTING
giảm limit còn 10 triệu,action,LIMIT
đổi giọng sang nghiêm túc,action,SET_TONE
sửa giao dịch cuối thành 50k,action,UPDATE_RECORD
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
nói chuyện nghiêm túc hơn đi,action,TONE
thống kê chi tiêu thứ 3,action,REPORT
thu nhập tháng này 500k,action,SET_INCOME
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
thống kê chi tiêu thứ 6,action,REPORT
save goal mua laptop 10 triệu,action,GOAL
search hóa đơn trên 200k,action,SEARCH
chỉnh lại ghi chú nha,action,EDIT
đổi giọng sang dặn dỗi,action,TONE
set tone dễ thương,action,SET_TONE
sửa giao dịch cuối thành 5 triệu,action,EDIT
tạo mục tiêu tiết kiệm 500k,action,SET_GOAL
tìm record năm nay,action,SEARCH_RECORD
hủy hóa đơn mới nhất,action,DELETE_LAST
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tắt chế độ tối,action,SETTING
alert hạn mức cho giáo dục,action,SET_ALERT
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
undo giao dịch cuối,action,DELETE_LAST
xem report nhà ở thứ 6,action,REPORT
mục tiêu du lịch 2 triệu trước thứ 2,action,GOAL
xóa record cuối giúp mình,action,DELETE
check tiền đã xài thứ 6 đi,action,REPORT_GENERAL
cộng thêm 100k vào hạn mức,action,SET_LIMIT
thu nhập tháng này 500k,action,SET_INCOME
đổi danh mục sang sức khỏe,action,UPDATE_RECORD
cộng thêm 10 triệu vào hạn mức,action,LIMIT
hủy hóa đơn mới nhất,action,DELETE
save goal mua laptop 2 triệu,action,GOAL
search hóa đơn trên 2 triệu,action,SEARCH_RECORD
cộng thêm 2 triệu vào hạn mức,action,SET_LIMIT
giảm limit còn 10 triệu,action,SET_LIMIT
set nickname Anh Khang,action,SET_USERNAME
giảm limit còn 5 triệu,action,SET_LIMIT
cho t xem báo cáo tháng 12 năm ngoái,action,REPORT_GENERAL
thống kê chi tiêu 15-06-2026,action,REPORT
tư vấn hạn mức cho mình,action,SUGGEST
update record vừa nhập,action,UPDATE_RECORD
đổi danh mục sang mua sắm,action,EDIT
nhắc mình khi vượt ngân sách,action,SET_ALERT
cộng thêm 10 triệu vào hạn mức,action,SET_LIMIT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
từ giờ gọi t là Boss,action,SET_USERNAME
nói chuyện dễ thương hơn đi,action,TONE
tìm record năm nay,action,SEARCH
tháng tới nên tiêu bao nhiêu,action,SUGGEST
mở cài đặt,action,SETTING
thống kê chi tiêu 15-06-2026,action,REPORT_INCOME
cộng thêm 2 triệu vào hạn mức,action,LIMIT
alert hạn mức cho mua sắm,action,SET_ALERT
bật dark mode,action,SETTING
xóa record cuối giúp mình,action,DELETE_LAST
đổi tên thành Boss,action,SET_USERNAME
xem report giáo dục tháng trước,action,REPORT_GENERAL
đổi tên thành Mimo Master,action,SET_USERNAME
search hóa đơn trên 1 triệu,action,SEARCH_RECORD
nói chuyện nghiêm túc hơn đi,action,SET_TONE
tắt chế độ tối,action,SETTING
tắt chế độ tối,action,SYSTEM_SETTING
cho t xem báo cáo tháng 12 năm ngoái,action,REPORT_INCOME
xem report giáo dục tháng này,action,REPORT_COMPARE
cho t xem báo cáo năm ngoái,action,REPORT
cho t xem báo cáo hôm qua,action,REPORT_INCOME
cộng thêm 10 triệu vào hạn mức,action,SET_LIMIT
update record vừa nhập,action,EDIT
set limit giáo dục 200k mỗi tháng,action,SET_LIMIT
mở cài đặt,action,SYSTEM_SETTING
set limit giáo dục 5 triệu mỗi tháng,action,SET_LIMIT
đổi danh mục sang ăn uống,action,EDIT
tắt thông báo chi tiêu,action,SET_ALERT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
xóa giao dịch vừa nhập,action,DELETE
alert hạn mức cho sức khỏe,action,SET_ALERT
xóa giao dịch vừa nhập,action,DELETE_LAST
tư vấn hạn mức cho mình,action,SUGGEST
mở cài đặt,action,SYSTEM_SETTING
giảm limit còn 500k,action,SET_LIMIT
tìm giao dịch mua sắm,action,SEARCH_RECORD
chuyển giao diện sáng,action,SYSTEM_SETTING
bật dark mode,action,SYSTEM_SETTING
xem report giải trí thứ 3,action,REPORT_GENERAL
check tiền đã xài 01-01-2026 đi,action,REPORT
đổi giọng sang châm chọc,action,TONE
giảm limit còn 10 triệu,action,SET_LIMIT
xem report giáo dục tuần trước,action,REPORT_GENERAL
cho t xem báo cáo tháng này,action,REPORT_GENERAL
xem report giải trí hôm nay,action,REPORT_COMPARE
xem report nhà ở hôm qua,action,REPORT_GENERAL
xem report nhà ở tháng 12 năm ngoái,action,REPORT_INCOME
đổi tên thành Anh Khang,action,SET_USERNAME
update record vừa nhập,action,UPDATE_RECORD
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
đổi danh mục sang mua sắm,action,UPDATE_RECORD
tháng tới nên tiêu bao nhiêu,action,SUGGEST
undo giao dịch cuối,action,DELETE
cho t xem báo cáo 01-01-2026,action,REPORT_GENERAL
sửa giao dịch cuối thành 1 triệu,action,EDIT
alert hạn mức cho sức khỏe,action,SET_ALERT
tư vấn hạn mức cho mình,action,SUGGEST
check tiền đã xài chủ nhật đi,action,REPORT_GENERAL
search hóa đơn trên 500k,action,SEARCH
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
xem report mua sắm tháng trước,action,REPORT_COMPARE
check tiền đã xài 7 ngày qua đi,action,REPORT_COMPARE
tạo mục tiêu tiết kiệm 1 triệu,action,SET_GOAL
xóa giao dịch vừa nhập,action,DELETE
tạo mục tiêu tiết kiệm 1 triệu,action,GOAL
set limit giáo dục 1 triệu mỗi tháng,action,LIMIT
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
xem report mua sắm chủ nhật,action,REPORT_COMPARE
gọi mình là Min nhé,action,SET_USERNAME
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
cho t xem báo cáo tháng này,action,REPORT_GENERAL
tháng tới nên tiêu bao nhiêu,action,SUGGEST
undo giao dịch cuối,action,DELETE
tháng tới nên tiêu bao nhiêu,action,SUGGEST
tắt chế độ tối,action,SETTING
xem report mua sắm tháng trước,action,REPORT_GENERAL
check tiền đã xài tuần trước đi,action,REPORT_GENERAL
thống kê chi tiêu 23-12-2025,action,REPORT_GENERAL
update record vừa nhập,action,UPDATE_RECORD
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
tìm record 15-06-2026,action,SEARCH
search hóa đơn trên 2 triệu,action,SEARCH_RECORD
thống kê chi tiêu tuần này,action,REPORT_GENERAL
xem report sức khỏe chủ nhật,action,REPORT
alert hạn mức cho nhà ở,action,SET_ALERT
xóa giao dịch vừa nhập,action,DELETE_LAST
xem report ăn uống thứ 3,action,REPORT_COMPARE
check tiền đã xài chủ nhật đi,action,REPORT_GENERAL
cho t xem báo cáo 01-01-2026,action,REPORT
xem report giải trí tháng này,action,REPORT
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
từ giờ gọi t là Boss,action,SET_USERNAME
tắt chế độ tối,action,SETTING
bật dark mode,action,SYSTEM_SETTING
check tiền đã xài 01-01-2026 đi,action,REPORT_GENERAL
set limit nhà ở 50k mỗi tháng,action,SET_LIMIT
undo giao dịch cuối,action,DELETE_LAST
cho t xem báo cáo tuần này,action,REPORT_INCOME
chuyển giao diện sáng,action,SETTING
hủy hóa đơn mới nhất,action,DELETE
alert hạn mức cho nhà ở,action,SET_ALERT
set tone nghiêm túc,action,TONE
để dành 1 triệu nha,action,GOAL
thống kê chi tiêu tuần này,action,REPORT_INCOME
để dành 10 triệu nha,action,SET_GOAL
bật dark mode,action,SYSTEM_SETTING
chuyển giao diện sáng,action,SETTING
cộng thêm 200k vào hạn mức,action,SET_LIMIT
đổi giọng sang dễ thương,action,SET_TONE
chuyển style nói chuyện nhé,action,TONE
undo giao dịch cuối,action,DELETE
cho t xem báo cáo 15-06-2026,action,REPORT_INCOME
cộng thêm 200k vào hạn mức,action,LIMIT
xem report nhà ở tháng 12 năm ngoái,action,REPORT_GENERAL
xóa record cuối giúp mình,action,DELETE
chuyển style nói chuyện nhé,action,SET_TONE
từ giờ gọi t là Anh Khang,action,SET_USERNAME
mục tiêu du lịch 50k trước cuối tuần,action,GOAL
thống kê chi tiêu tuần trước,action,REPORT_GENERAL
tắt thông báo chi tiêu,action,SET_ALERT
tìm giao dịch giải trí,action,SEARCH
update record vừa nhập,action,UPDATE_RECORD
set tone dễ thương,action,TONE
để dành 500k nha,action,GOAL
chỉnh lại ghi chú nha,action,UPDATE_RECORD
nói chuyện hài hước hơn đi,action,TONE
alert hạn mức cho giải trí,action,SET_ALERT
tìm giao dịch đi lại,action,SEARCH_RECORD
nhắc mình khi vượt ngân sách,action,SET_ALERT
hủy hóa đơn mới nhất,action,DELETE_LAST
chuyển giao diện sáng,action,SYSTEM_SETTING
save goal mua laptop 1 triệu,action,GOAL
xem report sức khỏe năm ngoái,action,REPORT_INCOME
update record vừa nhập,action,UPDATE_RECORD
tắt thông báo chi tiêu,action,SET_ALERT
xem report sức khỏe 23-12-2025,action,REPORT_GENERAL
hủy hóa đơn mới nhất,action,DELETE_LAST
thu nhập tháng này 5 triệu,action,SET_INCOME
tắt chế độ tối,action,SETTING
đổi giọng sang hài hước,action,TONE
tìm record tháng trước,action,SEARCH
cho t xem báo cáo thứ 2,action,REPORT_GENERAL
để dành 50k nha,action,GOAL
chỉnh lại ghi chú nha,action,EDIT
thống kê chi tiêu hôm qua,action,REPORT_GENERAL
xem report sức khỏe quý 1 năm nay,action,REPORT_GENERAL
tìm giao dịch mua sắm,action,SEARCH_RECORD
check tiền đã xài tuần này đi,action,REPORT_GENERAL
search hóa đơn trên 200k,action,SEARCH_RECORD
update record vừa nhập,action,EDIT
check tiền đã xài tuần này đi,action,REPORT_COMPARE
chuyển style nói chuyện nhé,action,TONE
từ giờ gọi t là Boss,action,SET_USERNAME
alert hạn mức cho đi lại,action,SET_ALERT
để dành 200k nha,action,GOAL
update record vừa nhập,action,UPDATE_RECORD
thống kê chi tiêu hôm qua,action,REPORT
mở cài đặt,action,SYSTEM_SETTING
search hóa đơn trên 1 triệu,action,SEARCH_RECORD
nhắc mình khi vượt ngân sách,action,SET_ALERT
tìm record tuần trước,action,SEARCH
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
xem report giáo dục tuần trước,action,REPORT_GENERAL
để dành 50k nha,action,SET_GOAL
bật dark mode,action,SETTING
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
mỗi tháng mình kiếm 500k,action,SET_INCOME
search hóa đơn trên 1 triệu,action,SEARCH_RECORD
set limit ăn uống 5 triệu mỗi tháng,action,SET_LIMIT
gọi mình là Mimo Master nhé,action,SET_USERNAME
cộng thêm 100k vào hạn mức,action,SET_LIMIT
xóa record cuối giúp mình,action,DELETE_LAST
set tone dễ thương,action,TONE
tạo mục tiêu tiết kiệm 10 triệu,action,GOAL
xóa giao dịch vừa nhập,action,DELETE_LAST
thống kê chi tiêu năm ngoái,action,REPORT_COMPARE
update record vừa nhập,action,UPDATE_RECORD
tìm giao dịch giải trí,action,SEARCH_RECORD
bật dark mode,action,SYSTEM_SETTING
đặt hạn mức nhà ở 10 triệu,action,LIMIT
mỗi tháng mình kiếm 5 triệu,action,SET_INCOME
alert hạn mức cho mua sắm,action,SET_ALERT
nói chuyện châm chọc hơn đi,action,TONE
nói chuyện nghiêm túc hơn đi,action,SET_TONE
check tiền đã xài tuần này đi,action,REPORT_INCOME
check tiền đã xài 01-01-2026 đi,action,REPORT
bật cảnh báo nhà ở,action,SET_ALERT
check tiền đã xài cuối tuần đi,action,REPORT
undo giao dịch cuối,action,DELETE_LAST
xem report ăn uống hôm nay,action,REPORT_INCOME
tạo mục tiêu tiết kiệm 5 triệu,action,SET_GOAL
thống kê chi tiêu quý 1 năm nay,action,REPORT
check tiền đã xài năm nay đi,action,REPORT_COMPARE
giảm limit còn 500k,action,LIMIT
để dành 200k nha,action,GOAL
mục tiêu du lịch 1 triệu trước tháng 12 năm ngoái,action,SET_GOAL
tắt chế độ tối,action,SYSTEM_SETTING
đặt hạn mức mua sắm 50k,action,SET_LIMIT
mở cài đặt,action,SYSTEM_SETTING
xóa giao dịch vừa nhập,action,DELETE
cộng thêm 10 triệu vào hạn mức,action,LIMIT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
để dành 10 triệu nha,action,GOAL
cho t xem báo cáo thứ 6,action,REPORT_COMPARE
sửa giao dịch cuối thành 1 triệu,action,UPDATE_RECORD
xóa giao dịch vừa nhập,action,DELETE_LAST
tắt chế độ tối,action,SYSTEM_SETTING
check tiền đã xài năm ngoái đi,action,REPORT_INCOME
cộng thêm 500k vào hạn mức,action,SET_LIMIT
tìm giao dịch ăn uống,action,SEARCH_RECORD
set tone dặn dỗi,action,TONE
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
tìm record thứ 3,action,SEARCH
set nickname Bin,action,SET_USERNAME
hủy hóa đơn mới nhất,action,DELETE
cho t xem báo cáo thứ 2,action,REPORT_COMPARE
hủy hóa đơn mới nhất,action,DELETE_LAST
sửa giao dịch cuối thành 200k,action,UPDATE_RECORD
tắt chế độ tối,action,SETTING
tạo mục tiêu tiết kiệm 1 triệu,action,SET_GOAL
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
cho t xem báo cáo tuần này,action,REPORT_GENERAL
update record vừa nhập,action,EDIT
check tiền đã xài quý 1 năm nay đi,action,REPORT
xóa record cuối giúp mình,action,DELETE
xóa giao dịch vừa nhập,action,DELETE_LAST
bật dark mode,action,SYSTEM_SETTING
cho t xem báo cáo năm nay,action,REPORT
check tiền đã xài tháng 12 năm ngoái đi,action,REPORT_GENERAL
thống kê chi tiêu 23-12-2025,action,REPORT_GENERAL
kiếm giúp khoản trà sữa,action,SEARCH
để dành 100k nha,action,GOAL
mục tiêu du lịch 100k trước 23-12-2025,action,GOAL
bật cảnh báo mua sắm,action,SET_ALERT
đổi tên thành Boss,action,SET_USERNAME
chuyển style nói chuyện nhé,action,TONE
nói chuyện dễ thương hơn đi,action,TONE
xóa giao dịch vừa nhập,action,DELETE_LAST
tắt chế độ tối,action,SYSTEM_SETTING
save goal mua laptop 1 triệu,action,SET_GOAL
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tắt thông báo chi tiêu,action,SET_ALERT
tư vấn hạn mức cho mình,action,SUGGEST
sửa giao dịch cuối thành 1 triệu,action,EDIT
xem report nhà ở 15-06-2026,action,REPORT_INCOME
để dành 1 triệu nha,action,SET_GOAL
xem report mua sắm tuần này,action,REPORT
xóa record cuối giúp mình,action,DELETE_LAST
đổi danh mục sang đi lại,action,UPDATE_RECORD
nhắc mình khi vượt ngân sách,action,SET_ALERT
thống kê chi tiêu hôm qua,action,REPORT_GENERAL
tắt thông báo chi tiêu,action,SET_ALERT
thống kê chi tiêu thứ 6,action,REPORT_COMPARE
gợi ý ngân sách tháng sau,action,SUGGEST
cộng thêm 10 triệu vào hạn mức,action,LIMIT
bật dark mode,action,SETTING
bật dark mode,action,SYSTEM_SETTING
tìm giao dịch đi lại,action,SEARCH_RECORD
đề xuất budget hợp lý đi,action,SUGGEST
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
undo giao dịch cuối,action,DELETE_LAST
tìm giao dịch đi lại,action,SEARCH_RECORD
xóa record cuối giúp mình,action,DELETE
bật dark mode,action,SYSTEM_SETTING
set limit giải trí 1 triệu mỗi tháng,action,LIMIT
set tone dễ thương,action,TONE
xóa giao dịch vừa nhập,action,DELETE_LAST
gợi ý ngân sách tháng sau,action,SUGGEST
xem report giáo dục quý 1 năm nay,action,REPORT
lương của mình là 10 triệu,action,SET_INCOME
check tiền đã xài 01-01-2026 đi,action,REPORT_GENERAL
tắt thông báo chi tiêu,action,SET_ALERT
update record vừa nhập,action,EDIT
thống kê chi tiêu thứ 6,action,REPORT
tạo mục tiêu tiết kiệm 100k,action,SET_GOAL
đặt hạn mức sức khỏe 1 triệu,action,LIMIT
undo giao dịch cuối,action,DELETE_LAST
alert hạn mức cho mua sắm,action,SET_ALERT
đổi giọng sang châm chọc,action,SET_TONE
tìm giao dịch nhà ở,action,SEARCH
set nickname Anh Khang,action,SET_USERNAME
undo giao dịch cuối,action,DELETE
để dành 10 triệu nha,action,GOAL
gọi mình là Mimo Master nhé,action,SET_USERNAME
đổi giọng sang hài hước,action,TONE
tìm record 30 ngày qua,action,SEARCH_RECORD
nói chuyện nghiêm túc hơn đi,action,TONE
cho t xem báo cáo cuối tuần,action,REPORT_COMPARE
giảm limit còn 2 triệu,action,SET_LIMIT
set limit giáo dục 500k mỗi tháng,action,SET_LIMIT
thống kê chi tiêu thứ 6,action,REPORT_COMPARE
xem report ăn uống năm nay,action,REPORT_GENERAL
chỉnh lại ghi chú nha,action,EDIT
nói chuyện nghiêm túc hơn đi,action,TONE
mỗi tháng mình kiếm 10 triệu,action,SET_INCOME
tìm record tháng này,action,SEARCH_RECORD
chuyển style nói chuyện nhé,action,SET_TONE
sửa giao dịch cuối thành 100k,action,UPDATE_RECORD
nói chuyện nghiêm túc hơn đi,action,TONE
để dành 2 triệu nha,action,GOAL
từ giờ gọi t là Bin,action,SET_USERNAME
để dành 5 triệu nha,action,SET_GOAL
set income 1 triệu,action,SET_INCOME
đề xuất budget hợp lý đi,action,SUGGEST
update record vừa nhập,action,UPDATE_RECORD
nói chuyện nghiêm túc hơn đi,action,TONE
tìm giao dịch mua sắm,action,SEARCH_RECORD
xem report nhà ở tuần trước,action,REPORT_INCOME
set nickname Bin,action,SET_USERNAME
set tone dặn dỗi,action,TONE
set tone nghiêm túc,action,TONE
xóa record cuối giúp mình,action,DELETE
hủy hóa đơn mới nhất,action,DELETE
chuyển giao diện sáng,action,SETTING
undo giao dịch cuối,action,DELETE_LAST
cho t xem báo cáo hôm nay,action,REPORT_GENERAL
save goal mua laptop 500k,action,SET_GOAL
check tiền đã xài năm nay đi,action,REPORT_GENERAL
update record vừa nhập,action,UPDATE_RECORD
cộng thêm 500k vào hạn mức,action,SET_LIMIT
tháng tới nên tiêu bao nhiêu,action,SUGGEST
tìm record tháng trước,action,SEARCH_RECORD
tắt chế độ tối,action,SETTING
xóa giao dịch vừa nhập,action,DELETE
tìm giao dịch ăn uống,action,SEARCH_RECORD
set limit đi lại 500k mỗi tháng,action,LIMIT
cộng thêm 1 triệu vào hạn mức,action,SET_LIMIT
bật dark mode,action,SETTING
đổi danh mục sang sức khỏe,action,UPDATE_RECORD
tắt thông báo chi tiêu,action,SET_ALERT
chỉnh lại ghi chú nha,action,EDIT
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
kiếm giúp khoản trà sữa,action,SEARCH
tháng tới nên tiêu bao nhiêu,action,SUGGEST
save goal mua laptop 500k,action,GOAL
mở cài đặt,action,SETTING
tìm giao dịch giải trí,action,SEARCH
xóa giao dịch vừa nhập,action,DELETE
thu nhập tháng này 50k,action,SET_INCOME
sửa giao dịch cuối thành 5 triệu,action,UPDATE_RECORD
đổi giọng sang dễ thương,action,TONE
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
chuyển style nói chuyện nhé,action,TONE
xóa giao dịch vừa nhập,action,DELETE_LAST
thống kê chi tiêu hôm qua,action,REPORT
set tone hài hước,action,SET_TONE
tắt thông báo chi tiêu,action,SET_ALERT
cho t xem báo cáo tháng này,action,REPORT_GENERAL
alert hạn mức cho giải trí,action,SET_ALERT
set tone hài hước,action,SET_TONE
xem report giáo dục tuần trước,action,REPORT_COMPARE
