text,label,type,is_money
nạp thẻ game liên quân vô tri #5453 222 ngàn,Entertainment,expense,1
thưởng nóng từ sếp đỉnh nóc kịch trần #237 317 cành,Bonus,income,1
bánh tráng trộn ét ô ét #3538 482 cành,Food,expense,1
phở cuốn #2655 376 cành,Food,expense,1
nước tẩy trang bioderma mlem mlem #8355 460k,Beauty,expense,1
tiền xăng xe tay ga chill chill #2457 216k,Transport,expense,1
bán tài liệu học tập cũ mlem mlem #4547 12.6củ,Business,income,1
gọi bebike đi học healing #8565 368K,Transport,expense,1
gấu bông labubu flexing #9433 318 cành,Shopping,expense,1
mua sách tiếng anh mua vô tri #9613 189 ngàn,Education,expense,1
gói khám sức khỏe tổng quát xu cà na #3514 80k,Health,expense,1
mua quà tạ lỗi bồ vô tri #6308 360k,Social,expense,1
trà sữa gongcha xịn xò #9715 151K,Food,expense,1
săn sale kẹp tóc vibe đỉnh #2931 217.000 đồng,Shopping,expense,1
quyên góp từ thiện chống lũ cứu rỗi tâm hồn #4444 285k,Charity,expense,1
bắt grabcar đi tiệc over hợp #3891 356k,Transport,expense,1
lợi nhuận bán quần áo secondhand vibe đỉnh 1159 ngàn,Business,income,1
thưởng sinh nhật công ty xịn xò #1047 15.0củ,Bonus,income,1
mua vàng tích trữ ét ô ét 489k,Investment,expense,1
tiền khám bệnh phòng khám đỉnh nóc kịch trần #1783 236.000 đồng,Health,expense,1
phí dịch vụ chung cư cháy phố #7946 82 ngàn,Housing,expense,1
ơm tấm sườn bì chả xịn xò #748 342.000 đồng,Food,expense,1
mì trộn indomie slay #7464 328k,Food,expense,1
xúc xích ăn liền kiếp nạn thứ 82 #3948 462k,Food,expense,1
chốt đơn shopee live gét gô 110.000 đồng,Shopping,expense,1
mua trà hoa cúc ngủ ngon cứu rỗi tâm hồn 236k,Health,expense,1
đóng tiền phạt muộn đỉnh nóc kịch trần #9685 415 cành,Investment,expense,1
thưởng nhân viên xuất sắc slay #3101 2.559.000 đồng,Bonus,income,1
mua giày sneaker mlem xịn xò #5480 158k,Shopping,expense,1
mua sách tiếng anh mua slay #8333 100 ngàn,Education,expense,1
mua trà hoa cúc ngủ ngon cháy phố 296 ngàn,Health,expense,1
lệ phí thi lại môn flexing #9217 175.000 đồng,Education,expense,1
tiền thưởng kpi tháng vibe đỉnh 11.0Tr,Bonus,income,1
ting ting lương công ty xịn xò 8.9Tr,Salary,income,1
cà phê muối cứu rỗi tâm hồn #3013 242 ngàn,Food,expense,1
mua quần áo local brand cứu rỗi tâm hồn #9721 237k,Shopping,expense,1
highlands phindi cháy phố #6652 376.000 đồng,Food,expense,1
mua kính râm thời trang mlem mlem 180 ngàn,Shopping,expense,1
đi siêu thị go sắm đồ over hợp 456 ngàn,Shopping,expense,1
kem dưỡng phục hồi b5 vibe đỉnh #3348 490k,Beauty,expense,1
tiền lãi đầu tư coin xịn xò #386 10.710.000 đồng,Business,income,1
mua quà tạ lỗi bồ đỉnh nóc kịch trần 410 ngàn,Social,expense,1
gói netflix xem phim ngon nhức nách #5090 246k,Entertainment,expense,1
gửi xe trung tâm thương mại ầm ầm #208 35k,Transport,expense,1
tiền trúng thưởng mini game xịn xò 6.0tr,Business,income,1
cushion che khuyết điểm gét gô 164 cành,Beauty,expense,1
thưởng ngày lễ 30/4 cháy phố #7742 13.6củ,Bonus,income,1
trà chanh giã tay ầm ầm 233k,Food,expense,1
nạp vip spotify ngon nhức nách 407k,Entertainment,expense,1
thưởng nhân viên xuất sắc mlem mlem #1117 1706 cành,Bonus,income,1
đèn led hoàng hôn xịn xò #845 117k,Shopping,expense,1
tiền phạt vi phạm giao thông chill chill #1283 16k,Transport,expense,1
bia chill cùng bạn ầm ầm #216 283 ngàn,Food,expense,1
lương designer freelance gét gô #1171 14863K,Salary,income,1
nạp thẻ game liên quân ầm ầm 126 cành,Entertainment,expense,1
mua đồ tiktok shop xịn xò #9302 299k,Shopping,expense,1
bảng mắt màu khói slay #7850 233.000 đồng,Beauty,expense,1
gà rán jollibee cháy phố #6444 444k,Food,expense,1
nước ép hoa quả healthy đỉnh nóc kịch trần #7064 405.000 đồng,Food,expense,1
săn áo thun t-shirt #4950 379K,Shopping,expense,1
thu nhập từ kênh youtube cháy phố #4831 11717k,Business,income,1
mua kính râm thời trang cứu rỗi tâm hồn 119k,Shopping,expense,1
mua cây decor phòng ngủ hết nấc #8362 324.000 đồng,Housing,expense,1
học phí đại học khóc thét ầm ầm 222 cành,Education,expense,1
túi sưởi mini healing #9409 23 ngàn,Shopping,expense,1
highlands phindi đỉnh nóc kịch trần #3058 211k,Food,expense,1
chì kẻ mày phẩy sợi vô tri #923 81k,Beauty,expense,1
phí dịch vụ chung cư mlem mlem #2281 430K,Housing,expense,1
sửa vòi nước hỏng ngon nhức nách 469.000 đồng,Housing,expense,1
tiền sinh nhật đứa bạn ét ô ét #7945 47.000 đồng,Social,expense,1
sữa rửa mặt cetaphil flexing 257K,Beauty,expense,1
tiền đóng bảo hiểm y tế flexing #5440 418.000 đồng,Health,expense,1
decor lại phòng trọ xịn xò 394k,Housing,expense,1
kem chống nắng nâng tông vibe đỉnh #9648 76K,Beauty,expense,1
cushion che khuyết điểm ngon nhức nách 450 cành,Beauty,expense,1
nhận lương chạy grab kịch sàn vô tri #1888 2042 ngàn,Salary,income,1
nhận lương chạy grab kịch sàn #2848 11.6tr,Salary,income,1
dầu gội bưởi mọc tóc slay 395k,Beauty,expense,1
ốp lưng iphone xịn xò chill chill 253k,Shopping,expense,1
lương designer freelance over hợp #1478 2427 cành,Salary,income,1
lương admin fanpage slay #6291 3540 cành,Salary,income,1
nước cốt xương ét ô ét #721 136k,Food,expense,1
thay dầu nhớt castrol vibe đỉnh 363k,Transport,expense,1
mua giày sneaker mlem over hợp 371k,Shopping,expense,1
kem chống nắng nâng tông ầm ầm 21 cành,Beauty,expense,1
củ sạc nhanh baseus xu cà na #7008 225 cành,Shopping,expense,1
mua thực phẩm chức năng omega3 mlem mlem #9420 72.000 đồng,Health,expense,1
tiền mừng cưới bạn thân flexing 176 ngàn,Social,expense,1
tiền bố mẹ tiếp tế xịn xò 10.147.000 đồng,Business,income,1
nước ngọt coca zero slay 231.000 đồng,Food,expense,1
săn sale lazada 11.11 ét ô ét 155k,Shopping,expense,1
mua nước lau sàn thơm xịn xò #5579 52k,Housing,expense,1
thẻ xe bus điện vinbus vibe đỉnh 325k,Transport,expense,1
thưởng nóng từ sếp ét ô ét 14195K,Bonus,income,1
lương làm mẫu ảnh healing #9107 1.8Tr,Salary,income,1
sushi băng chuyền slay 462k,Food,expense,1
ăn sập sình chill chill #5945 39 cành,Food,expense,1
thưởng nhân viên xuất sắc gét gô #4562 14.221.000 đồng,Bonus,income,1
phí dịch vụ chung cư slay #6260 495k,Housing,expense,1
mua giày sneaker mlem hết nấc #2435 160.000 đồng,Shopping,expense,1
tiền phạt vi phạm giao thông đỉnh nóc kịch trần #3809 482k,Transport,expense,1
học phí học lái xe ô tô hết nấc #2891 72K,Education,expense,1
vé xe limousine về quê #7505 233k,Transport,expense,1
mua thuốc uống cảm cúm chill chill #8191 444 cành,Health,expense,1
thu nhập từ kênh youtube mlem mlem #5210 2.2tr,Business,income,1
nước cốt xương gét gô #7533 261k,Food,expense,1
nạp vip spotify #415 273 cành,Entertainment,expense,1
gọi bebike đi học 176 ngàn,Transport,expense,1
sổ tay bullet journal gét gô #4614 76k,Shopping,expense,1
dầu gió xanh cứu cánh kiếp nạn thứ 82 #5465 445K,Health,expense,1
thưởng ngày lễ 30/4 xu cà na #7876 5903k,Bonus,income,1
serum trị mụn cứu rỗi tâm hồn #4815 467k,Beauty,expense,1
học phí đại học khóc thét #3694 275 ngàn,Education,expense,1
tiền quỹ lớp hết nấc #2276 139 cành,Education,expense,1
lương làm mẫu ảnh xịn xò #9322 11.0củ,Salary,income,1
nhận lương chạy grab kịch sàn #4636 497 cành,Salary,income,1
đi bar pub quẩy xu cà na 164.000 đồng,Entertainment,expense,1
tiền cọc phòng trọ xịn xò #8146 149 cành,Housing,expense,1
mua bông y tế tẩy trang ngon nhức nách #9428 397k,Health,expense,1
học phí đại học khóc thét xịn xò #8131 297 ngàn,Education,expense,1
vào rạp chiếu phim lotte vô tri 336k,Entertainment,expense,1
tiền mua đồ thắp hương ầm ầm 432k,Investment,expense,1
đã chuyển khoản quỹ chưa nhỉ,Entertainment,expense,0
mua nước súc miệng listerine 389k,Health,expense,1
tiền lãi đầu tư coin healing #5895 8435k,Business,income,1
tiền mua đồ thắp hương ngon nhức nách #1841 118 ngàn,Investment,expense,1
tiền thanh lý đồ cũ pass đồ ngon nhức nách #7464 2.1Tr,Business,income,1
ting ting lương công ty xu cà na 3.596.000 đồng,Salary,income,1
tiền vệ sinh rác thải gét gô #5276 334K,Housing,expense,1
đóng tiền phạt muộn cháy phố #4170 163k,Investment,expense,1
tiền mạng internet wifi ét ô ét #3546 363.000 đồng,Housing,expense,1
túi sưởi mini ét ô ét 389k,Shopping,expense,1
nhận lương viết content slay #1288 778 cành,Salary,income,1
bún đậu mắm tôm ngon nhức nách xu cà na #6224 151 ngàn,Food,expense,1
bảng mắt màu khói ầm ầm #6901 422 ngàn,Beauty,expense,1
mua bông y tế tẩy trang mlem mlem 72.000 đồng,Health,expense,1
tiền thưởng kpi tháng xịn xò #2053 14701k,Bonus,income,1
trứng gà so xu cà na #2324 166 cành,Food,expense,1
mua khẩu trang 4d flexing #7303 191 cành,Health,expense,1
lương part-time rủng rỉnh xịn xò #1904 11.2Tr,Salary,income,1
tiền xăng xe tay ga mlem mlem 99 ngàn,Transport,expense,1
đồ ăn vặt cổng trường #5639 295k,Food,expense,1
tiền gửi xe hàng tháng kiếp nạn thứ 82 #8323 331 cành,Investment,expense,1
thưởng chuyên cần hết nấc 10.746.000 đồng,Bonus,income,1
mua khóa cửa vân tay mlem mlem #3884 379 ngàn,Housing,expense,1
tiền vệ sinh rác thải ngon nhức nách #6382 260 cành,Housing,expense,1
bia chill cùng bạn kiếp nạn thứ 82 443 cành,Food,expense,1
mua đồ tiktok shop đỉnh nóc kịch trần #2415 110k,Shopping,expense,1
nước ép hoa quả healthy over hợp #3181 185k,Food,expense,1
sushi băng chuyền over hợp #8477 177k,Food,expense,1
tẩy tế bào chết cocoon vô tri #3761 121 cành,Beauty,expense,1
vé xe limousine về quê #7714 148 cành,Transport,expense,1
săn sale kẹp tóc over hợp #4329 389.000 đồng,Shopping,expense,1
tủ quần áo lắp ráp 263 ngàn,Housing,expense,1
chốt đơn shopee live đỉnh nóc kịch trần #2075 330k,Shopping,expense,1
chì kẻ mày phẩy sợi cứu rỗi tâm hồn #8664 60k,Beauty,expense,1
đi chợ đầu mối vibe đỉnh 189k,Shopping,expense,1
matcha latte xịn sò slay #1730 472K,Food,expense,1
nhận lương chạy grab kịch sàn slay #5022 2074 ngàn,Salary,income,1
book phòng homestay đà lạt đỉnh nóc kịch trần #9256 157K,Transport,expense,1
phí dịch vụ chung cư hết nấc 113.000 đồng,Housing,expense,1
khóa học tiếng anh ielts hết nấc #5674 484 cành,Education,expense,1
dầu gội bưởi mọc tóc hết nấc #3879 284k,Beauty,expense,1
k buffet cháy phố 254.000 đồng,Food,expense,1
bút calligraphy flexing 432 cành,Shopping,expense,1
bảo dưỡng xe máy over hợp #4783 341.000 đồng,Transport,expense,1
chúc mừng sinh nhật nhé,Housing,expense,0
đèn led hoàng hôn cháy phố #7028 148 cành,Shopping,expense,1
sữa rửa mặt cetaphil cứu rỗi tâm hồn 452K,Beauty,expense,1
vớ tất cao cổ kiếp nạn thứ 82 260k,Shopping,expense,1
vé máy bay vietjet healing 433 cành,Transport,expense,1
kimbap siêu dài kiếp nạn thứ 82 121K,Food,expense,1
nạp vip spotify over hợp #5396 72k,Entertainment,expense,1
đu đỉnh coin 473k,Investment,expense,1
tiền phạt vi phạm giao thông chill chill #8982 347 cành,Transport,expense,1
vé máy bay vietjet gét gô 75 ngàn,Transport,expense,1
tiền trúng thưởng mini game chill chill #1912 2276k,Business,income,1
đi đu idol kpop slay 450.000 đồng,Entertainment,expense,1
gói netflix xem phim hết nấc #7812 498k,Entertainment,expense,1
mua thực phẩm chức năng omega3 xịn xò #566 476k,Health,expense,1
tiền lãi đầu tư coin ngon nhức nách #8541 3807 cành,Business,income,1
lương cứng mỗi tháng 9671k,Salary,income,1
in tài liệu tiểu luận slay #5349 142k,Education,expense,1
serum trị mụn cứu rỗi tâm hồn #1140 417k,Beauty,expense,1
tiền thanh lý đồ cũ pass đồ #2816 5941 ngàn,Business,income,1
tiền vệ sinh rác thải xu cà na #4701 353k,Housing,expense,1
thưởng ngày lễ 30/4 chill chill #240 3682 ngàn,Bonus,income,1
mua bông y tế tẩy trang chill chill #9520 141 ngàn,Health,expense,1
quạt tích điện để bàn over hợp 473k,Shopping,expense,1
mua bút highlight cháy phố 163.000 đồng,Education,expense,1
dầu gội bưởi mọc tóc ngon nhức nách #4645 59k,Beauty,expense,1
cà phê muối cứu rỗi tâm hồn #4913 373.000 đồng,Food,expense,1
vé máy bay vietjet cháy phố 411k,Transport,expense,1
serum trị mụn hết nấc #5284 291k,Beauty,expense,1
nệm cao su non healing #6698 413 cành,Housing,expense,1
mặt nạ đất sét vibe đỉnh #1763 214 cành,Beauty,expense,1
lãi gửi tiết kiệm ngân hàng ầm ầm #1462 1479 cành,Business,income,1
thuê xe máy đi phượt ngon nhức nách #3609 479 cành,Transport,expense,1
vé xem phim cgv ét ô ét #1035 488k,Entertainment,expense,1
cơm hộp tiện lợi đỉnh nóc kịch trần #6965 125k,Food,expense,1
tiền chung cư mini healing #1076 297k,Housing,expense,1
nước khoáng aquafina slay #7018 226 cành,Food,expense,1
tiền lãi chứng khoán nổ hũ chill chill #9816 12310 ngàn,Business,income,1
vé xe limousine về quê ét ô ét #9240 358K,Transport,expense,1
nước ngọt coca zero over hợp 141 cành,Food,expense,1
tiền nhổ răng khôn khóc thét xịn xò 496.000 đồng,Health,expense,1
nước hoa mini ngon nhức nách #9207 462 ngàn,Beauty,expense,1
trà sữa phúc long đỉnh nóc kịch trần #5202 259k,Food,expense,1
khoai lang mật #1198 390.000 đồng,Food,expense,1
gói khám sức khỏe tổng quát ầm ầm #8790 486 cành,Health,expense,1
mua trà hoa cúc ngủ ngon #8763 47 ngàn,Health,expense,1
chốt đơn hoodie oversize gét gô #3086 315k,Shopping,expense,1
nệm cao su non vô tri #9708 67k,Housing,expense,1
đu đỉnh chứng khoán gét gô #442 121K,Investment,expense,1
quạt tích điện để bàn cứu rỗi tâm hồn #3684 411 ngàn,Shopping,expense,1
gọi bebike đi học vibe đỉnh #7885 499 ngàn,Transport,expense,1
lương admin fanpage đỉnh nóc kịch trần #1828 2587 cành,Salary,income,1
nước tẩy trang bioderma cứu rỗi tâm hồn 373 ngàn,Beauty,expense,1
bạc sỉu đá ngon nhức nách 221k,Food,expense,1
mua thuốc nhỏ mắt len vô tri 120 cành,Health,expense,1
bình giữ nhiệt stanley flexing 323 cành,Shopping,expense,1
tiền trúng thưởng mini game ngon nhức nách #5981 6953K,Business,income,1
tiền nhận từ booking quảng cáo xịn xò #4454 5664K,Business,income,1
đế đỡ điện thoại vô tri 385.000 đồng,Shopping,expense,1
hát karaoke cháy máy chill chill #3267 339k,Entertainment,expense,1
khoai lang mật ngon nhức nách #9926 364 cành,Food,expense,1
vibe hôm nay heal lắm,Food,expense,0
nước tẩy trang bioderma đỉnh nóc kịch trần 203k,Beauty,expense,1
lương part-time rủng rỉnh gét gô #7094 11804 cành,Salary,income,1
trà sữa phúc long cháy phố #1200 72k,Food,expense,1
đặt xe grabbike gét gô #3151 132K,Transport,expense,1
lẩu haidilao xu cà na #3928 306 cành,Food,expense,1
mua phụ kiện vòng tay chill chill #7026 137k,Shopping,expense,1
lương cứng mỗi tháng over hợp 13310k,Salary,income,1
đi bar pub quẩy kiếp nạn thứ 82 #1655 210 ngàn,Entertainment,expense,1
tiền cọc phòng trọ xịn xò #8315 480K,Housing,expense,1
nhận lương viết content cháy phố #2786 5.4Tr,Salary,income,1
đu đỉnh coin đỉnh nóc kịch trần 399.000 đồng,Investment,expense,1
mua khóa học udemy ét ô ét #1223 293 cành,Education,expense,1
lẩu haidilao cứu rỗi tâm hồn 52k,Food,expense,1
tiền bán hàng shopee gét gô #215 2.6Tr,Business,income,1
ting ting lương công ty chill chill 7.7củ,Salary,income,1
chi phí đổi căn cước công dân flexing 426 cành,Investment,expense,1
học phí khóa học photoshop gét gô 157 cành,Education,expense,1
ting ting lương công ty kiếp nạn thứ 82 #3287 10610k,Salary,income,1
thuê xe máy đi phượt hết nấc 152.000 đồng,Transport,expense,1
thịt bò ba chỉ kiếp nạn thứ 82 #1222 77k,Food,expense,1
yến mạch giảm cân đỉnh nóc kịch trần #781 84k,Food,expense,1
xúc xích ăn liền cứu rỗi tâm hồn 379 ngàn,Food,expense,1
học phí khóa học photoshop vibe đỉnh #9842 323k,Education,expense,1
lương admin fanpage vô tri 3274K,Salary,income,1
bắt grabcar đi tiệc kiếp nạn thứ 82 #3408 288k,Transport,expense,1
hủ tiếu gõ xịn xò #2465 415 cành,Food,expense,1
tiền phạt vi phạm giao thông over hợp #8542 103 cành,Transport,expense,1
chì kẻ mày phẩy sợi kiếp nạn thứ 82 #4620 89 ngàn,Beauty,expense,1
tiền thanh lý đồ cũ pass đồ đỉnh nóc kịch trần 13304K,Business,income,1
thay dầu nhớt castrol ầm ầm #2758 92.000 đồng,Transport,expense,1
vé xe limousine về quê slay #3710 10k,Transport,expense,1
book phòng homestay đà lạt cứu rỗi tâm hồn 406 ngàn,Transport,expense,1
nước cốt xương vibe đỉnh 390K,Food,expense,1
hạt granola xu cà na #2189 16k,Food,expense,1
gà rán jollibee ét ô ét 485k,Food,expense,1
tiền donate livestream kiếp nạn thứ 82 #974 8206 cành,Business,income,1
lương admin fanpage ét ô ét 8955k,Salary,income,1
kẹp bấm mi xịn healing #2829 27 cành,Beauty,expense,1
chì kẻ mày phẩy sợi xu cà na #7834 479k,Beauty,expense,1
nhận lương chạy grab kịch sàn chill chill 4.7tr,Salary,income,1
tiền cọc phòng trọ healing #5350 86 cành,Housing,expense,1
bảng mắt màu khói đỉnh nóc kịch trần #4306 233 ngàn,Beauty,expense,1
cushion che khuyết điểm vibe đỉnh #9133 113 ngàn,Beauty,expense,1
lợi nhuận bán quần áo secondhand xu cà na 14120 cành,Business,income,1
mua thực phẩm chức năng omega3 xịn xò #9243 97K,Health,expense,1
bơ đậu phộng vibe đỉnh #4723 409 cành,Food,expense,1
mua thuốc nhỏ mắt len flexing #6959 345k,Health,expense,1
tiền quỹ lớp đỉnh nóc kịch trần #9881 286 cành,Education,expense,1
đặt xe grabbike vibe đỉnh 41 ngàn,Transport,expense,1
hủ tiếu gõ healing #3743 391K,Food,expense,1
học phí đại học khóc thét vibe đỉnh 235.000 đồng,Education,expense,1
đóng tiền phạt muộn ầm ầm #3892 497k,Investment,expense,1
tiền bán hàng shopee hết nấc #8060 4969K,Business,income,1
tiền lãi chứng khoán nổ hũ over hợp 7324 ngàn,Business,income,1
tiền khám bệnh phòng khám ngon nhức nách #6563 333k,Health,expense,1
decor lại phòng trọ gét gô #3313 118 ngàn,Housing,expense,1
mua bút highlight vibe đỉnh #5475 85.000 đồng,Education,expense,1
hát karaoke cháy máy gét gô #320 410k,Entertainment,expense,1
vé đi triển lãm nghệ thuật cháy phố #719 494 cành,Entertainment,expense,1
mua tài liệu ôn thi healing #9114 23.000 đồng,Education,expense,1
mua mũ bảo hiểm có kính flexing #8395 221k,Transport,expense,1
tiền vệ sinh rác thải flexing 189k,Housing,expense,1
tiền mua đồ thắp hương xịn xò #291 281k,Investment,expense,1
chơi boardgame cùng hội bạn kiếp nạn thứ 82 500k,Entertainment,expense,1
bia chill cùng bạn gét gô #4340 427 ngàn,Food,expense,1
chì kẻ mày phẩy sợi vibe đỉnh #4599 395k,Beauty,expense,1
khoai lang mật mlem mlem 479 cành,Food,expense,1
mua khẩu trang 4d ầm ầm #3183 485.000 đồng,Health,expense,1
tiền vệ sinh rác thải cháy phố #1762 233.000 đồng,Housing,expense,1
chốt đơn chưa bồ ơi,Entertainment,expense,0
tiền mạng internet wifi vibe đỉnh 419 ngàn,Housing,expense,1
sữa rửa mặt cetaphil cứu rỗi tâm hồn #3995 362K,Beauty,expense,1
mua sách tiếng anh mua ầm ầm #8729 405 ngàn,Education,expense,1
tiền xăng xe tay ga ét ô ét 460k,Transport,expense,1
tiền nhổ răng khôn khóc thét cháy phố 469 ngàn,Health,expense,1
chơi boardgame cùng hội bạn flexing #4610 104.000 đồng,Entertainment,expense,1
ơm tấm sườn bì chả đỉnh nóc kịch trần #6033 237k,Food,expense,1
mua quà tạ lỗi bồ mlem mlem 322k,Social,expense,1
đăng ký test toeic cứu rỗi tâm hồn 17 cành,Education,expense,1
tiền thanh lý đồ cũ pass đồ ầm ầm #8092 4743K,Business,income,1
mua mũ bảo hiểm có kính healing 343k,Transport,expense,1
